[waypoint_traj-11] [INFO] [1757973351.061468444] [waypoint_traj_node]: Received path point: x=7.44, y=23.61, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.061877992] [waypoint_traj_node]: Received path point: x=10.91, y=23.65, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.062385654] [waypoint_traj_node]: Received path point: x=14.12, y=23.69, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.063269882] [waypoint_traj_node]: Received path point: x=14.66, y=23.40, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.063710108] [waypoint_traj_node]: Received path point: x=15.40, y=22.48, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.064198764] [waypoint_traj_node]: Received path point: x=16.65, y=21.20, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.064613241] [waypoint_traj_node]: Received path point: x=18.83, y=20.93, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.064990559] [waypoint_traj_node]: Received path point: x=20.72, y=20.73, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.065431806] [waypoint_traj_node]: Received path point: x=21.86, y=20.21, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.065790078] [waypoint_traj_node]: Received path point: x=22.25, y=19.89, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.066185399] [waypoint_traj_node]: Received path point: x=22.82, y=18.65, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.066556555] [waypoint_traj_node]: Received path point: x=22.81, y=16.41, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.066909678] [waypoint_traj_node]: Received path point: x=22.82, y=14.64, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.067301312] [waypoint_traj_node]: Received path point: x=22.61, y=12.88, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.067771914] [waypoint_traj_node]: Received path point: x=21.99, y=12.04, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.068224854] [waypoint_traj_node]: Received path point: x=20.17, y=9.54, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.068624313] [waypoint_traj_node]: Received path point: x=18.86, y=7.72, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.069000709] [waypoint_traj_node]: Received path point: x=17.00, y=5.14, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.069401490] [waypoint_traj_node]: Received path point: x=15.16, y=2.70, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.069874417] [waypoint_traj_node]: Received path point: x=14.79, y=2.24, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.070447842] [waypoint_traj_node]: Received path point: x=13.69, y=1.80, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.070889200] [waypoint_traj_node]: Received path point: x=12.23, y=1.43, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.071328504] [waypoint_traj_node]: Received path point: x=11.53, y=0.84, yaw=0.02
[waypoint_traj-11] [INFO] [1757973351.071743723] [waypoint_traj_node]: Received path point: x=11.48, y=-0.45, yaw=0.02
